STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,FREQ,Fréquence d'observation,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,EXPEND_SOURCE,Source des dépenses,SPENDING_TYPE,Type de dépenses,PROGRAMME_TYPE,Type de programme,PRICE_BASE,Type de prix,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales,CURRENCY,Monnaie,BASE_PER,Période de base
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,BGR,Bulgarie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2000,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,BGR,Bulgarie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2001,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,BGR,Bulgarie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2002,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,BGR,Bulgarie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2003,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,BGR,Bulgarie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2004,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,PRT,Portugal,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2021,,25.502,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,PRT,Portugal,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2022,,24.068,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,PRT,Portugal,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2023,,22.98,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,PRT,Portugal,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2024,,24.107,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,BGR,Bulgarie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2005,,14.855,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,BGR,Bulgarie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2006,,14.036,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,BGR,Bulgarie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2007,,13.14,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,BGR,Bulgarie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2008,,13.807,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,BGR,Bulgarie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2009,,15.624,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Agrégats de dépenses sociales,I,BGR,Bulgarie,A,Annuelle,SOCX,Dépenses sociales,PT_B1GQ,Pourcentage du PIB,ES10,Publiques,_T,Total,_T,Total,_Z,N'est pas applicable,2010,,16.269,,A,Normal value,0,Units,1,One,_Z,N'est pas applicable,,
