REF_AREA,TIME_PERIOD,OBS_VALUE_mortality,OBS_VALUE_gdp,OBS_VALUE_hdi,OBS_VALUE_health_exp,OBS_VALUE_hosp_beds,OBS_VALUE_life_exp,OBS_VALUE_social_expenditure,OBS_VALUE_unemp
AUS,2000,237,45859.5162097045,0.897,7.589,4.04,79.2341463414634,18.184,6.292
AUS,2001,227,46191.3142366289,0.9,7.674,3.95,79.6341463414634,17.488,6.775
AUS,2002,218,47486.2783216389,0.902,7.872,3.93,79.9365853658537,17.301,6.358
AUS,2003,207,48394.1269478095,0.906,7.877,3.97,80.2390243902439,17.484,5.942
AUS,2004,199,49902.0187022536,0.91,8.083,4,80.490243902439,17.181,5.392
AUS,2006,187,51553.9685966991,0.917,7.972,3.93,81.0414634146342,15.679,4.792
AUS,2007,182,52531.7611201084,0.919,8.052,NA,81.2926829268293,15.844,4.375
AUS,2008,181,53336.1012157008,0.924,8.247,3.82,81.3951219512195,17.037,4.258
AUS,2009,177,53237.0077642312,0.927,8.543,3.77,81.5439024390244,16.833,5.575
AUS,2010,170,53578.8125049759,0.929,8.419,3.78,81.6951219512195,16.544,5.208
AUS,2011,168,54111.357240336,0.933,8.534,3.79,81.8951219512195,17.008,5.083
AUS,2012,161,55257.5739287362,0.938,8.67,3.75,82.0463414634146,17.301,5.233
AUS,2013,160,55728.0174035719,0.935,8.747,3.74,82.1487804878049,17.264,5.658
AUS,2014,162,56327.8533063277,0.937,9.828,3.79,82.3,17.868,6.058
AUS,2015,162,56739.0265346593,0.938,10.136,3.82,82.4,18.199,6.067
AUS,2016,156,57401.0662268939,0.939,10.09,3.84,82.4487804878049,17.483,5.717
AUS,2017,154,57750.6482221688,0.94,10.109,NA,82.5,17.072,5.6
AUS,2018,150,58530.7821697117,0.945,10.089,NA,82.7487804878049,16.626,5.283
AUS,2019,155,58924.733646242,0.947,10.254,NA,82.9,20.43,5.175
AUS,2020,145,58132.798523626,0.95,10.703,NA,83.2,22.635,6.475
AUS,2021,144,59276.503107197,0.954,10.516,NA,83.3,18.061,5.117
AUS,2022,156,61009.8077147403,0.952,9.892,NA,83.2,17.067,3.708
AUS,2023,146,61598.1776089916,0.958,9.884,NA,83.0512195121951,NA,3.7
AUT,2002,271,39313.7225107545,0.887,9.591,7.81,78.6780487804878,26.585,4.392
AUT,2003,267,39569.2885567329,0.889,9.698,7.73,78.6317073170732,27.083,4.792
AUT,2004,253,40333.3307183894,0.895,9.815,7.73,79.1804878048781,26.921,5.875
AUT,2005,247,40989.0131778975,0.898,9.718,7.69,79.3317073170732,26.516,6.025
AUT,2006,237,42120.1557002022,0.902,9.641,7.66,79.8804878048781,26.248,5.6
AUT,2007,229,43568.8302243941,0.905,9.605,7.75,80.1804878048781,25.636,5.192
AUT,2008,219,44063.8642019916,0.907,9.834,7.69,80.4317073170732,26.116,4.425
AUT,2009,221,42372.4758254763,0.907,10.312,7.68,80.3317073170732,28.128,5.692
AUT,2010,214,43035.4073531933,0.912,10.316,7.65,80.5804878048781,28.226,5.208
AUT,2011,206,44146.1956805294,0.915,10.137,7.68,80.9829268292683,27.403,4.875
AUT,2012,204,44221.4599530893,0.916,10.302,7.67,80.9365853658537,27.791,5.242
AUT,2013,199,43851.3675497404,0.915,10.406,7.64,81.1365853658537,28.267,5.35
AUT,2014,197,43838.8345892137,0.919,10.512,7.58,81.490243902439,28.514,6.05
AUT,2015,201,43915.228020857,0.919,10.517,7.54,81.190243902439,28.441,6.158
AUT,2016,195,44362.6702805116,0.921,10.517,7.42,81.6414634146342,28.351,6.467
AUT,2017,189,45056.6385912412,0.922,10.571,7.37,81.6439024390244,27.981,5.942
AUT,2018,188,45951.5819164034,0.925,10.516,7.27,81.6926829268293,27.72,5.217
AUT,2019,183,46550.5622459492,0.928,10.625,7.19,81.8951219512195,27.837,4.825
AUT,2020,191,43428.6983137234,0.925,11.413,7.05,81.1926829268293,32.691,5.475
AUT,2021,198,45313.3988964964,0.93,12.185,6.91,81.190243902439,31.991,6.175
AUT,2022,187,47250.9695999523,0.927,11.225,6.72,81.2951219512195,30.015,4.742
AUT,2023,175,46338.9570588922,0.93,11.153,6.6,81.5414634146342,30.312,5.1
BEL,2000,280,35878.3153586195,0.894,7.999,6.72,77.7219512195122,23.935,6.858
BEL,2001,271,36148.2880924306,0.899,8.15,6.62,77.9731707317073,24.398,6.567
BEL,2002,264,36600.862592332,0.901,8.318,6.54,78.0756097560976,24.773,7.525
BEL,2003,257,36826.2699296094,0.903,9.189,6.53,78.1292682926829,25.325,8.175
BEL,2004,244,37976.6972967442,0.909,9.355,6.48,78.8780487804878,25.078,8.383
BEL,2005,245,38645.2605193362,0.911,9.25,6.44,78.9804878048781,24.931,8.475
BEL,2006,232,39371.0858277448,0.913,9.133,6.35,79.380487804878,24.831,8.267
BEL,2007,230,40520.0843207009,0.916,9.139,6.27,79.7829268292683,24.338,7.492
